id,type,text1,text2,text3,text4,text5,notes
sol_Pluto,CUSTOM,"Pluto is a complex dwarf planet at the frontier of the Kuiper Belt, a world that defied expectations when New Horizons flew by in 2015. Far from being a simple frozen iceball, Pluto displays active geology with nitrogen glaciers flowing across vast plains, water-ice mountains rising 3.5 kilometers high, and a thin atmosphere of nitrogen that expands and contracts as the planet's elliptical orbit carries it closer to and farther from the Sun. Pluto and its largest moon Charon form a binary system, tidally locked so they always show the same faces to each other. The reclassification from planet to dwarf planet in 2006 sparked controversy, but Pluto's scientific importance has only grown with each new discovery about this distant world and its place in the outer Solar System's complex architecture.","The Distant Heart","Pluto's surface reveals a world of surprising complexity and beauty, with vast plains of frozen nitrogen punctuated by dark, organic compounds that give regions like Cthulhu Macula their distinctive coloration. The heart-shaped feature informally named Tombaugh Regio contains Sputnik Planitia, a glacier of nitrogen ice that appears to be actively flowing and recycling its surface. Pluto's thin atmosphere may contain organic haze similar to that on Saturn's moon Titan, created when solar ultraviolet light breaks down methane molecules. The dwarf planet's five known moons, including large Charon and tiny, rapidly spinning Nix and Hydra, may have formed from debris left over from a giant impact early in Pluto's history. As humanity's most distant planetary encounter, Pluto continues to surprise scientists and expand our understanding of the outer Solar System's diversity.",,,
sol_Luna,CUSTOM,"Luna, Earth's Moon, is far more than just a satellite - it's Earth's cosmic partner and humanity's stepping stone to the stars. Formed 4.5 billion years ago likely from debris created when a Mars-sized object collided with early Earth, the Moon has been gradually moving away from our planet ever since, currently receding at 3.8 centimeters per year. Tidally locked in synchronous rotation, Luna always shows the same face to Earth, with the far side remaining hidden until spacecraft revealed its heavily cratered landscape in 1959. The Moon's gravitational pull creates Earth's tides, stabilizes our planet's axial tilt, and gradually slows Earth's rotation. Luna's surface preserves a 4-billion-year record of impacts that Earth's active geology has long since erased, making it a museum of early Solar System history and the target of humanity's first steps beyond our home world.","Earth's Guardian","Luna's surface tells the story of the Solar System's violent youth through its maria (dark volcanic plains) and highlands (bright, heavily cratered terrain). The Moon's interior likely contains a small iron core, rocky mantle, and thin crust, with moonquakes still occurring due to tidal forces and thermal expansion. Water ice has been confirmed in permanently shadowed polar craters, deposited by comets and asteroids over billions of years and preserved in the eternal cold. The Apollo missions brought back 842 pounds of lunar samples that revolutionized our understanding of planetary formation, while ongoing robotic missions from multiple nations continue to explore Luna's resources and potential as a base for deeper space exploration. As Earth's constant companion, the Moon serves as both our shared human heritage and the gateway to becoming a spacefaring civilization.",,,
sol_Phobos,CUSTOM,"Phobos is Mars's larger and inner moon, a potato-shaped chunk of rock just 22 kilometers across that races around the Red Planet in less than 8 hours - faster than Mars rotates. This doomed satellite is slowly spiraling inward due to tidal forces, losing about 1.8 centimeters of altitude per century and destined to either crash into Mars or be torn apart into a ring system within 50 million years. Phobos is one of the darkest objects in the Solar System, reflecting only 6% of sunlight, and is likely a captured asteroid from the outer asteroid belt. Strange parallel grooves across its surface may be stress fractures caused by tidal forces or chains of craters from debris blasted off Mars by impacts. Despite its small size and irregular shape, Phobos experiences Martian eclipses and transits that have been observed by rovers on the surface below.","The Doomed Rock","Phobos represents both the violent history of the inner Solar System and a potential resource for future Mars exploration. Its composition appears similar to D-type asteroids found in the outer asteroid belt, supporting theories that it migrated inward over millions of years before being captured by Mars's gravity. The moon's largest crater, Stickney, is nearly half the diameter of Phobos itself and was likely caused by an impact that nearly shattered the small world. Future missions may use Phobos as a staging area for Mars exploration, taking advantage of its weak gravity (about 1/1000th of Earth's) to easily land and launch spacecraft while still providing access to the Martian system. The grooves and ridges covering much of Phobos's surface remain mysterious, possibly created by the same impact that formed Stickney crater or by ongoing tidal stress as the moon is slowly torn apart by Mars's gravity.",,,
sol_Deimos,CUSTOM,"Deimos is the smaller and more distant of Mars's two moons, a dark, irregularly shaped rock about 12 kilometers across that orbits beyond the synchronous orbit distance. Unlike its inward-spiraling companion Phobos, Deimos is slowly drifting away from Mars and may eventually escape the planet's gravitational influence entirely. This tiny moon takes 30 hours to complete one orbit, meaning it rises in the east and sets in the west as seen from Mars, but so slowly that it remains visible in the Martian sky for over two days at a time. Deimos has a smoother appearance than Phobos, covered in a thick layer of regolith that fills in craters and gives it a more rounded profile. Like Phobos, it's probably a captured asteroid, possibly originating from the same parent body that was broken apart by a collision in the outer asteroid belt.", "The Drifting Stone","Deimos offers a unique vantage point for observing Mars and the inner Solar System, orbiting at a distance where Mars appears about twice the size of our Moon as seen from Earth. The regolith covering Deimos is unusually fine and deep, possibly indicating it has been in the Mars system longer than Phobos and has accumulated more micrometeorite impacts and dust. Some of this material may actually be dust blown off Mars by impact events or dust storms, making Deimos a repository of Martian surface samples that could be easier to access than landing on Mars itself. The moon's weak gravity and stable orbit make it an attractive target for future robotic missions that could serve as communication relays for Mars surface operations or as fuel depots for interplanetary spacecraft using resources extracted from its surface materials.",,,
sol_Io,CUSTOM,"Io is a world on fire, the most volcanically active body in the Solar System with over 400 active volcanoes powered by the immense tidal forces of Jupiter's gravity. As Io orbits through Jupiter's magnetosphere every 42 hours, it experiences constant stretching and flexing that generates enough internal heat to melt rock and drive continuous eruptions. Sulfur and sulfur dioxide paint Io's surface in brilliant yellows, oranges, and whites, while volcanic plumes can tower 500 kilometers above the surface - high enough to be seen from Earth-based telescopes. The moon has no water and virtually no impact craters, as its surface is completely resurfaced by volcanic activity every few thousand years. Io's thin atmosphere consists mainly of sulfur dioxide gas from volcanic outgassing, and its volcanoes pump out more heat per unit area than any other solid body in the Solar System.","The Volcanic Hell","Io exists in a state of perpetual geological violence, with some volcanoes producing eruptions hot enough to melt silicate rock - temperatures not seen on Earth for billions of years. The tidal heating that drives this activity comes from Io's orbital resonance with Europa and Ganymede, which prevents its orbit from becoming circular and maintains the gravitational stress that flexes the moon's interior. Io's volcanoes come in different types: some produce towering plumes of sulfur dioxide gas and dust, while others create vast lava lakes and flows of molten sulfur. The moon acts as a massive electrical generator as it moves through Jupiter's magnetic field, creating electrical currents that flow between Io and Jupiter's upper atmosphere. This hellish world provides insights into the early volcanic activity that shaped all rocky planets, preserved in an environment where tidal forces maintain conditions long since extinct elsewhere in the Solar System.",,,
sol_Europa,CUSTOM,"Europa is one of the Solar System's most intriguing worlds, hiding a vast global ocean beneath its smooth, icy crust that may contain twice as much water as all of Earth's oceans combined. This Jovian moon's surface is among the youngest in the Solar System, constantly renewed by geological processes that create a complex network of ridges, cracks, and chaotic terrain where the ice shell has been broken apart and reformed. Tidal heating from Jupiter's gravity keeps Europa's subsurface ocean liquid despite the moon's distance from the Sun, while the same forces may drive hydrothermal activity on the ocean floor similar to the deep-sea vents that support unique ecosystems on Earth. Europa's thin oxygen atmosphere is created when Jupiter's radiation splits water molecules on the surface, and recent observations suggest water vapor plumes may occasionally erupt from the south polar region, providing potential access to the hidden ocean below.","The Hidden Ocean","Europa represents one of the most promising locations to search for extraterrestrial life in our Solar System. The moon's subsurface ocean is in direct contact with a rocky mantle, potentially creating the chemical interactions necessary for life as we know it. The constant flexing of Europa's interior by Jupiter's tidal forces may drive hydrothermal circulation that could provide energy for biological processes, while the ocean's long-term stability over billions of years would have allowed time for life to evolve. The icy crust acts as a protective barrier against Jupiter's deadly radiation while potentially allowing chemical exchange between the surface and ocean through cracks and upwelling. Future missions plan to orbit Europa and possibly land on its surface to sample the ice and search for biosignatures, while more ambitious concepts envision robotic submarines that could penetrate the ice shell and explore the hidden ocean directly.",,,
sol_Ganymede,CUSTOM,"Ganymede is the largest moon in the Solar System, bigger than Mercury and the only moon known to generate its own magnetic field through a partially molten iron core. This massive Jovian satellite shows clear evidence of geological activity in its grooved terrain, where the icy crust has been stretched and fractured to create parallel ridges and valleys spanning hundreds of kilometers. Ganymede's surface is divided between dark, heavily cratered regions billions of years old and brighter grooved terrain that may be only a few hundred million years old. Beneath its icy surface lies a subsurface ocean that may contain more water than all of Earth's surface water, sandwiched between layers of different types of ice under extreme pressure. The Hubble Space Telescope has detected aurora at Ganymede's poles, created by charged particles interacting with its magnetic field - the first auroral activity ever observed on a moon.","The Magnetic Giant","Ganymede's unique magnetic field creates a magnetosphere within Jupiter's much larger magnetic field, providing some protection from radiation and creating complex interactions between the two magnetic systems. The moon's internal structure likely consists of a metallic core, rocky mantle, and multiple layers of water and ice, making it more like a small planet than a typical moon. The grooved terrain suggests that Ganymede experienced a period of intense geological activity that fractured and rebuilt large portions of its surface, possibly triggered by orbital resonances or internal heating. Recent studies suggest that Ganymede's subsurface ocean may be stratified into multiple layers with different compositions, potentially including layers of exotic high-pressure ice phases not found anywhere else. As the target of ESA's JUICE mission arriving in the 2030s, Ganymede will be the first moon to be orbited by a spacecraft from another world, providing unprecedented insights into this complex and fascinating world.",,,
sol_Callisto,CUSTOM,"Callisto is Jupiter's most distant major moon and one of the most heavily cratered objects in the Solar System, its ancient surface preserving a 4-billion-year record of impacts from the early Solar System's chaotic period. Unlike its neighboring moons, Callisto shows little evidence of geological activity and may never have been fully differentiated, with rock and ice mixed throughout its interior rather than separated into distinct layers. Despite its battered appearance, Callisto likely harbors a subsurface ocean beneath its icy crust, though this ocean is probably sandwiched between layers of ice and may not contact the rocky interior directly. The moon's dark surface reflects only 20% of sunlight, colored by organic compounds and dust accumulated over billions of years. Callisto's distance from Jupiter places it outside the planet's most intense radiation belts, making it a potentially safer target for future human exploration than the inner Galilean moons.","The Ancient Witness","Callisto serves as a time capsule of the early Solar System, its heavily cratered surface telling the story of the Late Heavy Bombardment that battered all the inner worlds around 4 billion years ago. The largest impact feature, Valhalla, is a multi-ring basin over 4,000 kilometers across - evidence of a massive collision that would have reshaped the moon's interior structure. Unlike Europa and Ganymede, Callisto's subsurface ocean may be isolated from its rocky interior by layers of high-pressure ice, potentially limiting the chemical interactions necessary for life. However, the moon's stable environment and distance from Jupiter's radiation make it an attractive location for a future base to support exploration of the Jovian system. Callisto's low density suggests it formed from a mixture of rock and ice that was never heated enough to separate completely, providing insights into the conditions present during the formation of the outer Solar System's moons and small bodies.",,,
sol_Enceladus,CUSTOM,"Enceladus is a small, brilliant moon of Saturn that has revolutionized our understanding of where life might exist in the outer Solar System. Despite being only 500 kilometers in diameter, this icy world generates spectacular geysers of water vapor, organic compounds, and ice crystals that erupt from warm fractures near its south pole at speeds up to 2,100 kilometers per hour. These plumes feed Saturn's E-ring and provide direct access to a global subsurface ocean that lies beneath 30-40 kilometers of ice. Tidal heating from Saturn's gravity keeps this ocean liquid and may drive hydrothermal activity on the ocean floor, creating environments similar to the deep-sea hydrothermal vents on Earth where life may have first evolved. The smooth, bright surface of Enceladus reflects nearly 100% of sunlight, making it one of the most reflective objects in the Solar System.","The Ice Geyser","Enceladus has become one of the highest-priority targets in the search for extraterrestrial life after the Cassini spacecraft detected not just water vapor in its plumes, but also organic molecules, silicate particles, and hydrogen gas that suggest hydrothermal activity on the ocean floor. The moon's tiger stripe fractures at the south pole are warmer than the surrounding terrain and show evidence of recent geological activity, with some areas reaching temperatures as high as -80°C despite being far from the Sun. The global ocean beneath Enceladus's ice shell may be 10 kilometers deep and in contact with a rocky core, providing the water-rock interactions that could generate the chemical energy necessary for life. Future missions are being designed to fly through the plumes and analyze their composition in greater detail, while more ambitious concepts would land near the tiger stripes or even attempt to melt through the ice to explore the ocean directly.",,,
sol_Titan,CUSTOM,"Titan is Saturn's largest moon and the only moon in the Solar System with a substantial atmosphere, cloaked in a thick haze of nitrogen and methane that creates weather patterns, seasonal changes, and a hydrological cycle reminiscent of early Earth. Rivers of liquid methane and ethane carve channels across Titan's surface, flowing into vast lakes and seas concentrated near the polar regions. Kraken Mare, the largest of these hydrocarbon seas, is larger than Earth's Caspian Sea and may be several hundred meters deep. Titan's surface pressure is 60% greater than Earth's, and its dense atmosphere would allow humans to fly with simple wing-powered aircraft, though the surface temperature of -179°C would require substantial protection. Beneath its icy crust, Titan likely harbors a subsurface ocean of liquid water that may contain more water than all of Earth's oceans, making it both an analog for early Earth and a potential habitat for life.","The Methane World","Titan represents a unique laboratory for studying prebiotic chemistry and atmospheric evolution under conditions that may resemble early Earth before life arose. The moon's thick atmosphere is constantly producing complex organic molecules through chemical reactions driven by solar ultraviolet light and charged particles from Saturn's magnetosphere. These organic compounds rain down onto the surface, where they accumulate into vast dune fields that cover much of Titan's equatorial regions. The Cassini-Huygens mission revealed a world of startling complexity, with evidence of cryovolcanoes that may erupt water and ammonia, impact craters partially filled with organic sediments, and possible seasonal changes in the distribution of surface liquids. Titan's subsurface ocean is likely salty and may be in contact with a rocky core, while the surface environment provides a natural laboratory for studying the kinds of organic chemistry that may have led to the origin of life on Earth billions of years ago.",,,
sol_Oberon,CUSTOM,"Oberon is the outermost and second-largest moon of Uranus, a dark and ancient world whose heavily cratered surface tells the story of billions of years of cosmic bombardment. With a diameter of 1,523 kilometers, Oberon shows evidence of past geological activity in the form of chasmata - large canyons and scarps that cut across its surface alongside numerous impact craters. The moon's surface is composed of a mixture of water ice and rocky material, darkened by carbonaceous compounds and organic materials that give it a low reflectivity of only 14%. Several of Oberon's craters show bright rays and central peaks, indicating relatively recent impacts that excavated cleaner ice from beneath the darkened surface layer. Like all of Uranus's major moons, Oberon is likely differentiated with a rocky core surrounded by an icy mantle, and may harbor a thin subsurface ocean beneath its frozen exterior.","The Dark Sentinel","Oberon's surface features suggest a complex geological history despite its current inactive state. The largest crater, Hamlet, is 206 kilometers across and shows a well-preserved central peak, while several craters have dark floors that may be filled with organic-rich material. The chasmata that cross Oberon's surface, including the prominent Mommur Chasma, may have formed during a period when the moon's interior was still warm enough to drive tectonic activity, possibly billions of years ago. Spectroscopic observations have detected water ice on Oberon's surface, along with possible traces of carbon dioxide ice in the polar regions. The moon's position in Uranus's highly tilted system means it experiences extreme seasonal variations, with each pole spending 42 years in continuous sunlight followed by 42 years of darkness, potentially affecting the stability and distribution of surface ices over long timescales.",,,
sol_Titania,CUSTOM,"Titania is the largest moon of Uranus and one of the most geologically diverse objects in the outer Solar System, with a surface carved by enormous fault systems and canyons that rival anything found on terrestrial planets. The most prominent feature is Messina Chasmata, a canyon system that stretches nearly 1,500 kilometers across Titania's surface - about one-third of the moon's circumference. These massive rifts suggest that Titania experienced significant geological activity in its past, possibly driven by tidal heating when it was in a more eccentric orbit. The moon's surface shows a mixture of heavily cratered terrain and younger, smoother plains that indicate resurfacing events. Spectroscopic analysis reveals a surface composed primarily of water ice mixed with rocky material and organic compounds that darken the overall appearance. At 1,578 kilometers in diameter, Titania is about half the size of Earth's Moon but shows evidence of internal differentiation with a possible subsurface ocean.","The Scarred Titan","Titania's dramatic topography tells a story of internal forces that once reshaped this distant world on a massive scale. The canyon systems may have formed when Titania's interior expanded as radioactive decay heated its core, causing the icy crust to crack and stretch. Some of the largest craters, like Gertrude and Imogen, show well-preserved central peaks and terraced walls, indicating they formed in relatively recent geological time when the surface was still capable of maintaining steep slopes. The presence of CO2 ice has been detected in Titania's polar regions, possibly deposited from its thin exosphere or from impacts by carbon-rich bodies. Like other Uranian moons, Titania's extreme seasons mean that surface temperatures and ice stability vary dramatically over its 84-year orbital period around the Sun, potentially driving ongoing geological processes even today.",,,
sol_Miranda,CUSTOM,"Miranda is the strangest moon in the Solar System, a small world whose surface looks like a cosmic jigsaw puzzle assembled from pieces of different worlds. Only 472 kilometers in diameter, Miranda displays some of the most extreme and varied terrain found anywhere, with towering cliffs, deep canyons, and three large ovoid features called coronae that appear to be regions where the surface has been completely reworked. Verona Rupes, a cliff on Miranda's surface, rises 5-10 kilometers high - nearly 10 times taller than the Grand Canyon is deep. The moon's surface shows evidence of multiple episodes of disruption and reassembly, possibly the result of catastrophic collisions that shattered Miranda and allowed it to re-accrete under its own weak gravity. Despite its small size, Miranda shows clear evidence of past geological activity, with different regions displaying vastly different crater densities and surface ages ranging from ancient to relatively young.","The Broken World","Miranda's bizarre terrain suggests a violent history of destruction and reformation that may have occurred multiple times throughout its existence. The three coronae - Arden, Elsinore, and Inverness - show evidence of internal heating and upwelling that brought warm material to the surface, creating the grooved and ridged terrain within these regions. Computer models suggest that Miranda may have been disrupted by impacts at least five times, each time reassembling into a slightly different configuration. The extreme topography, including cliffs that would take 10 minutes to fall from in Miranda's weak gravity, may have formed during these reassembly processes when large blocks of material settled into new positions. Some scientists propose that tidal heating from Uranus could have provided the energy for Miranda's geological activity during periods when its orbit was more eccentric, potentially explaining how such a small world could generate enough internal heat to drive the extensive resurfacing seen across its surface.",,,
